y,C,CMatrix,theta,thetaMatrix
0.0005,1,1,0.0004999,0.262984
0.0015,1,1,0.0004999,0.262984
0.0025,1,1,0.0004999,0.262984
0.0035,1,1,0.0004999,0.262984
0.0045,1,1,0.0004999,0.262984
0.0055,1,1,0.0004999,0.262984
0.0065,1,1,0.0004999,0.262984
0.0075,1,1,0.0004999,0.262984
0.0085,1,1,0.0004999,0.262984
0.0095,1,1,0.0004999,0.262984
0.0105,1,1,0.0004999,0.262984
0.0115,1,1,0.0004999,0.262984
0.0125,1,1,0.0004999,0.262984
0.0135,1,1,0.0004999,0.262984
0.0145,1,1,0.0004999,0.262984
0.0155,1,1,0.0004999,0.262984
0.0165,1,1,0.0004999,0.262984
0.0175,1,1,0.0004999,0.262984
0.0185,1,1,0.0004999,0.262984
0.0195,1,1,0.0004999,0.262984
0.0205,1,1,0.0004999,0.262984
0.0215,1,1,0.0004999,0.262984
0.0225,1,1,0.0004999,0.262984
0.0235,1,1,0.0004999,0.262984
0.0245,1,1,0.0004999,0.262984
0.0255,1,1,0.0004999,0.262984
0.0265,1,1,0.0004999,0.262984
0.0275,1,1,0.0004999,0.262984
0.0285,1,1,0.0004999,0.262984
0.0295,1,1,0.0004999,0.262984
0.0305,1,1,0.0004999,0.262984
0.0315,1,1,0.0004999,0.262984
0.0325,1,1,0.0004999,0.262984
0.0335,1,1,0.0004999,0.262984
0.0345,1,1,0.0004999,0.262984
0.0355,1,1,0.0004999,0.262984
0.0365,1,1,0.0004999,0.262984
0.0375,1,1,0.0004999,0.262984
0.0385,1,1,0.0004999,0.262984
0.0395,1,1,0.0004999,0.262984
0.0405,1,1,0.0004999,0.262984
0.0415,1,1,0.0004999,0.262984
0.0425,1,1,0.0004999,0.262984
0.0435,1,1,0.0004999,0.262984
0.0445,1,1,0.0004999,0.262984
0.0455,1,1,0.0004999,0.262984
0.0465,1,1,0.0004999,0.262984
0.0475,1,1,0.0004999,0.262984
0.0485,1,1,0.0004999,0.262984
0.0495,1,1,0.0004999,0.262984
0.0505,1,1,0.0004999,0.262984
0.0515,1,1,0.0004999,0.262984
0.0525,1,1,0.0004999,0.262984
0.0535,1,1,0.0004999,0.262984
0.0545,1,1,0.0004999,0.262984
0.0555,1,1,0.0004999,0.262984
0.0565,1,1,0.0004999,0.262984
0.0575,1,1,0.0004999,0.262984
0.0585,1,1,0.0004999,0.262984
0.0595,1,1,0.0004999,0.262984
0.0605,1,1,0.0004999,0.262984
0.0615,1,1,0.0004999,0.262984
0.0625,1,1,0.0004999,0.262984
0.0635,1,1,0.0004999,0.262984
0.0645,1,1,0.0004999,0.262984
0.0655,1,1,0.0004999,0.262984
0.0665,1,1,0.0004999,0.262984
0.0675,1,1,0.0004999,0.262984
0.0685,1,1,0.0004999,0.262984
0.0695,1,1,0.0004999,0.262984
0.0705,1,1,0.0004999,0.262984
0.0715,1,1,0.0004999,0.262984
0.0725,1,1,0.0004999,0.262984
0.0735,1,1,0.0004999,0.262984
0.0745,1,1,0.0004999,0.262984
0.0755,1,1,0.0004999,0.262984
0.0765,1,1,0.0004999,0.262984
0.0775,1,1,0.0004999,0.262984
0.0785,1,1,0.0004999,0.262984
0.0795,1,1,0.0004999,0.262984
0.0805,1,1,0.0004999,0.262984
0.0815,1,1,0.0004999,0.262984
0.0825,1,1,0.0004999,0.262984
0.0835,1,1,0.0004999,0.262984
0.0845,1,1,0.0004999,0.262984
0.0855,1,1,0.0004999,0.262984
0.0865,1,1,0.0004999,0.262984
0.0875,1,1,0.0004999,0.262984
0.0885,1,1,0.0004999,0.262984
0.0895,1,1,0.0004999,0.262984
0.0905,1,1,0.0004999,0.262984
0.0915,1,1,0.0004999,0.262984
0.0925,1,1,0.0004999,0.262984
0.0935,1,1,0.0004999,0.262984
0.0945,1,1,0.0004999,0.262984
0.0955,1,1,0.0004999,0.262984
0.0965,1,1,0.0004999,0.262984
0.0975,1,1,0.0004999,0.262984
0.0985,1,1,0.0004999,0.262984
0.0995,1,1,0.0004999,0.262984
0.1005,1,1,0.0004999,0.262984
0.1015,1,1,0.0004999,0.262984
0.1025,1,1,0.0004999,0.262984
0.1035,1,1,0.0004999,0.262984
0.1045,1,1,0.0004999,0.262984
0.1055,1,1,0.0004999,0.262984
0.1065,1,1,0.0004999,0.262984
0.1075,0.999827,1,0.000499902,0.262984
0.1085,0.932586,0.999997,0.000500081,0.262984
0.1095,0.401825,0.999928,0.000516143,0.262984
0.1105,0.343336,0.999803,0.000890659,0.262988
0.1115,0.323662,0.999636,0.00175015,0.263008
0.1125,0.311735,0.999376,0.002593,0.263064
0.1135,0.302525,0.998998,0.00329878,0.263164
0.1145,0.294691,0.998508,0.00388904,0.263304
0.1155,0.287734,0.997919,0.00439881,0.263478
0.1165,0.281408,0.997239,0.00485184,0.263683
0.1175,0.275561,0.99648,0.00526312,0.263915
0.1185,0.270091,0.995648,0.00564236,0.264172
0.1195,0.264927,0.99475,0.00599614,0.26445
0.1205,0.260018,0.993791,0.00632912,0.264749
0.1215,0.255327,0.992777,0.00664466,0.265065
0.1225,0.250826,0.991713,0.00694533,0.265398
0.1235,0.246495,0.990601,0.00723308,0.265746
0.1245,0.242319,0.989445,0.00750946,0.266107
0.1255,0.238286,0.98825,0.00777571,0.266482
0.1265,0.234384,0.987017,0.00803283,0.266868
0.1275,0.230605,0.98575,0.00828167,0.267265
0.1285,0.226941,0.984452,0.00852291,0.267673
0.1295,0.223387,0.983124,0.00875715,0.268089
0.1305,0.219935,0.981769,0.0089849,0.268514
0.1315,0.216581,0.980388,0.0092066,0.268947
0.1325,0.21332,0.978985,0.00942262,0.269387
0.1335,0.210146,0.977561,0.0096333,0.269833
0.1345,0.207057,0.976117,0.00983893,0.270286
0.1355,0.204049,0.974655,0.0100398,0.270745
0.1365,0.201117,0.973177,0.0102361,0.271208
0.1375,0.198259,0.971683,0.0104281,0.271676
0.1385,0.195472,0.970177,0.0106159,0.272149
0.1395,0.192753,0.968658,0.0107998,0.272625
0.1405,0.190099,0.967128,0.0109799,0.273105
0.1415,0.187508,0.965588,0.0111563,0.273589
0.1425,0.184977,0.964039,0.0113292,0.274075
0.1435,0.182504,0.962483,0.0114987,0.274564
0.1445,0.180088,0.96092,0.011665,0.275055
0.1455,0.177725,0.959351,0.011828,0.275547
0.1465,0.175415,0.957777,0.011988,0.276042
0.1475,0.173156,0.956199,0.0121451,0.276538
0.1485,0.170945,0.954618,0.0122993,0.277036
0.1495,0.168781,0.953033,0.0124506,0.277534
0.1505,0.166663,0.951447,0.0125993,0.278034
0.1515,0.164589,0.94986,0.0127453,0.278534
0.1525,0.162557,0.948272,0.0128888,0.279034
0.1535,0.160567,0.946684,0.0130298,0.279535
0.1545,0.158617,0.945096,0.0131683,0.280036
0.1555,0.156706,0.94351,0.0133045,0.280537
0.1565,0.154832,0.941925,0.0134383,0.281037
0.1575,0.152995,0.940342,0.01357,0.281538
0.1585,0.151193,0.938761,0.0136994,0.282038
0.1595,0.149425,0.937184,0.0138267,0.282537
0.1605,0.147691,0.935609,0.0139519,0.283035
0.1615,0.145989,0.934039,0.014075,0.283533
0.1625,0.144318,0.932472,0.0141962,0.284029
0.1635,0.142677,0.93091,0.0143154,0.284525
0.1645,0.141067,0.929352,0.0144327,0.285019
0.1655,0.139485,0.9278,0.0145482,0.285512
0.1665,0.13793,0.926252,0.0146618,0.286004
0.1675,0.136403,0.924711,0.0147736,0.286494
0.1685,0.134903,0.923175,0.0148837,0.286983
0.1695,0.133428,0.921645,0.0149921,0.28747
0.1705,0.131978,0.920121,0.0150988,0.287956
0.1715,0.130552,0.918604,0.0152039,0.28844
0.1725,0.12915,0.917093,0.0153074,0.288922
0.1735,0.12777,0.915589,0.0154093,0.289402
0.1745,0.126413,0.914092,0.0155097,0.28988
0.1755,0.125078,0.912602,0.0156086,0.290356
0.1765,0.123764,0.91112,0.015706,0.29083
0.1775,0.122471,0.909645,0.0158019,0.291302
0.1785,0.121197,0.908178,0.0158965,0.291772
0.1795,0.119944,0.906718,0.0159896,0.29224
0.1805,0.118709,0.905266,0.0160814,0.292705
0.1815,0.117493,0.903823,0.0161718,0.293169
0.1825,0.116295,0.902387,0.016261,0.29363
0.1835,0.115114,0.900959,0.0163488,0.294088
0.1845,0.113951,0.89954,0.0164354,0.294545
0.1855,0.112805,0.898128,0.0165207,0.294998
0.1865,0.111674,0.896726,0.0166049,0.29545
0.1875,0.11056,0.895331,0.0166878,0.295899
0.1885,0.109462,0.893945,0.0167696,0.296345
0.1895,0.108378,0.892567,0.0168502,0.29679
0.1905,0.107309,0.891198,0.0169298,0.297231
0.1915,0.106255,0.889837,0.0170082,0.29767
0.1925,0.105215,0.888485,0.0170855,0.298107
0.1935,0.104188,0.887142,0.0171617,0.298541
0.1945,0.103175,0.885807,0.0172369,0.298972
0.1955,0.102176,0.884481,0.0173111,0.299401
0.1965,0.101188,0.883164,0.0173843,0.299827
0.1975,0.100214,0.881856,0.0174565,0.300251
0.1985,0.0992514,0.880556,0.0175277,0.300672
0.1995,0.098301,0.879265,0.0175979,0.30109
0.2005,0.0973621,0.877982,0.0176673,0.301506
0.2015,0.0964347,0.876708,0.0177357,0.301919
0.2025,0.0955184,0.875443,0.0178032,0.302329
0.2035,0.094613,0.874187,0.0178698,0.302737
0.2045,0.0937182,0.87294,0.0179355,0.303142
0.2055,0.0928338,0.871701,0.0180004,0.303545
0.2065,0.0919595,0.87047,0.0180644,0.303944
0.2075,0.0910952,0.869249,0.0181276,0.304342
0.2085,0.0902406,0.868036,0.01819,0.304736
0.2095,0.0893955,0.866831,0.0182515,0.305128
0.2105,0.0885598,0.865635,0.0183123,0.305517
0.2115,0.0877331,0.864448,0.0183724,0.305904
0.2125,0.0869153,0.863269,0.0184316,0.306288
0.2135,0.0861062,0.862099,0.0184901,0.30667
0.2145,0.0853057,0.860937,0.0185479,0.307049
0.2155,0.0845135,0.859784,0.0186049,0.307425
0.2165,0.0837294,0.858638,0.0186613,0.307798
0.2175,0.0829534,0.857501,0.0187169,0.30817
0.2185,0.0821852,0.856373,0.0187719,0.308538
0.2195,0.0814247,0.855252,0.0188262,0.308904
0.2205,0.0806717,0.85414,0.0188798,0.309267
0.2215,0.0799261,0.853036,0.0189327,0.309628
0.2225,0.0791877,0.85194,0.018985,0.309987
0.2235,0.0784563,0.850852,0.0190367,0.310342
0.2245,0.0777319,0.849772,0.0190878,0.310696
0.2255,0.0770143,0.8487,0.0191382,0.311046
0.2265,0.0763033,0.847636,0.0191881,0.311395
0.2275,0.0755989,0.846579,0.0192373,0.31174
0.2285,0.0749008,0.845531,0.019286,0.312084
0.2295,0.0742091,0.84449,0.0193341,0.312425
0.2305,0.0735234,0.843457,0.0193816,0.312763
0.2315,0.0728439,0.842431,0.0194285,0.313099
0.2325,0.0721702,0.841414,0.019475,0.313433
0.2335,0.0715023,0.840403,0.0195209,0.313764
0.2345,0.0708402,0.8394,0.0195662,0.314093
0.2355,0.0701836,0.838405,0.019611,0.31442
0.2365,0.0695325,0.837417,0.0196553,0.314744
0.2375,0.0688869,0.836436,0.0196992,0.315066
0.2385,0.0682465,0.835463,0.0197425,0.315385
0.2395,0.0676112,0.834497,0.0197853,0.315703
0.2405,0.0669811,0.833538,0.0198276,0.316018
0.2415,0.066356,0.832586,0.0198695,0.316331
0.2425,0.0657358,0.831641,0.0199109,0.316641
0.2435,0.0651205,0.830703,0.0199518,0.316949
0.2445,0.0645098,0.829772,0.0199923,0.317256
0.2455,0.0639039,0.828847,0.0200323,0.317559
0.2465,0.0633025,0.82793,0.0200719,0.317861
0.2475,0.0627056,0.827019,0.0201111,0.318161
0.2485,0.0621132,0.826114,0.0201498,0.318458
0.2495,0.0615251,0.825217,0.0201881,0.318754
0.2505,0.0609412,0.824326,0.020226,0.319047
0.2515,0.0603616,0.823441,0.0202635,0.319338
0.2525,0.0597861,0.822563,0.0203006,0.319627
0.2535,0.0592146,0.821691,0.0203373,0.319914
0.2545,0.0586472,0.820825,0.0203736,0.320199
0.2555,0.0580837,0.819966,0.0204095,0.320482
0.2565,0.057524,0.819113,0.020445,0.320763
0.2575,0.0569682,0.818266,0.0204802,0.321042
0.2585,0.056416,0.817425,0.020515,0.321319
0.2595,0.0558676,0.81659,0.0205494,0.321594
0.2605,0.0553228,0.815761,0.0205835,0.321868
0.2615,0.0547816,0.814938,0.0206172,0.322139
0.2625,0.0542438,0.814121,0.0206506,0.322408
0.2635,0.0537095,0.81331,0.0206836,0.322676
0.2645,0.0531787,0.812505,0.0207163,0.322942
0.2655,0.0526511,0.811705,0.0207487,0.323205
0.2665,0.0521269,0.810911,0.0207807,0.323467
0.2675,0.0516059,0.810122,0.0208124,0.323728
0.2685,0.0510881,0.809339,0.0208438,0.323986
0.2695,0.0505735,0.808561,0.0208749,0.324243
0.2705,0.0500619,0.807789,0.0209057,0.324497
0.2715,0.0495534,0.807022,0.0209361,0.324751
0.2725,0.049048,0.806261,0.0209663,0.325002
0.2735,0.0485455,0.805505,0.0209962,0.325252
0.2745,0.0480459,0.804754,0.0210257,0.3255
0.2755,0.0475492,0.804008,0.021055,0.325746
0.2765,0.0470554,0.803267,0.021084,0.325991
0.2775,0.0465643,0.802531,0.0211127,0.326234
0.2785,0.046076,0.801801,0.0211412,0.326475
0.2795,0.0455905,0.801075,0.0211693,0.326715
0.2805,0.0451076,0.800354,0.0211972,0.326953
0.2815,0.0446274,0.799638,0.0212249,0.32719
0.2825,0.0441498,0.798927,0.0212522,0.327425
0.2835,0.0436747,0.79822,0.0212793,0.327658
0.2845,0.0432022,0.797519,0.0213062,0.32789
0.2855,0.0427323,0.796822,0.0213328,0.328121
0.2865,0.0422647,0.796129,0.0213591,0.32835
0.2875,0.0417997,0.795442,0.0213853,0.328577
0.2885,0.041337,0.794758,0.0214111,0.328803
0.2895,0.0408767,0.79408,0.0214367,0.329028
0.2905,0.0404188,0.793406,0.0214621,0.329251
0.2915,0.0399631,0.792736,0.0214873,0.329472
0.2925,0.0395098,0.79207,0.0215122,0.329692
0.2935,0.0390587,0.791409,0.0215369,0.329911
0.2945,0.0386099,0.790752,0.0215614,0.330128
0.2955,0.0381632,0.790099,0.0215856,0.330344
0.2965,0.0377187,0.789451,0.0216097,0.330559
0.2975,0.0372764,0.788807,0.0216335,0.330772
0.2985,0.0368362,0.788167,0.0216571,0.330984
0.2995,0.036398,0.787531,0.0216805,0.331195
0.3005,0.035962,0.786898,0.0217037,0.331404
0.3015,0.035528,0.78627,0.0217267,0.331612
0.3025,0.035096,0.785646,0.0217495,0.331819
0.3035,0.034666,0.785026,0.0217721,0.332024
0.3045,0.0342379,0.784409,0.0217944,0.332229
0.3055,0.0338118,0.783797,0.0218166,0.332431
0.3065,0.0333876,0.783188,0.0218386,0.332633
0.3075,0.0329654,0.782583,0.0218605,0.332834
0.3085,0.032545,0.781982,0.0218821,0.333033
0.3095,0.0321265,0.781384,0.0219035,0.333231
0.3105,0.0317098,0.78079,0.0219248,0.333428
0.3115,0.0312949,0.7802,0.0219458,0.333623
0.3125,0.0308818,0.779613,0.0219667,0.333818
0.3135,0.0304705,0.77903,0.0219875,0.334011
0.3145,0.0300609,0.778451,0.022008,0.334203
0.3155,0.0296531,0.777874,0.0220284,0.334394
0.3165,0.029247,0.777302,0.0220486,0.334584
0.3175,0.0288425,0.776732,0.0220686,0.334773
0.3185,0.0284398,0.776166,0.0220885,0.334961
0.3195,0.0280387,0.775604,0.0221082,0.335147
0.3205,0.0276393,0.775044,0.0221278,0.335333
0.3215,0.0272415,0.774488,0.0221471,0.335517
0.3225,0.0268453,0.773936,0.0221664,0.335701
0.3235,0.0264506,0.773386,0.0221854,0.335883
0.3245,0.0260576,0.77284,0.0222044,0.336064
0.3255,0.0256661,0.772296,0.0222231,0.336245
0.3265,0.0252762,0.771756,0.0222417,0.336424
0.3275,0.0248877,0.771219,0.0222602,0.336602
0.3285,0.0245008,0.770686,0.0222785,0.336779
0.3295,0.0241154,0.770155,0.0222967,0.336955
0.3305,0.0237315,0.769627,0.0223147,0.337131
0.3315,0.023349,0.769102,0.0223326,0.337305
0.3325,0.0229679,0.76858,0.0223503,0.337478
0.3335,0.0225883,0.768061,0.0223679,0.33765
0.3345,0.0222102,0.767545,0.0223854,0.337822
0.3355,0.0218334,0.767032,0.0224027,0.337992
0.3365,0.021458,0.766522,0.0224199,0.338162
0.3375,0.021084,0.766015,0.022437,0.33833
0.3385,0.0207114,0.76551,0.0224539,0.338498
0.3395,0.0203401,0.765008,0.0224707,0.338664
0.3405,0.0199701,0.764509,0.0224874,0.33883
0.3415,0.0196015,0.764013,0.0225039,0.338995
0.3425,0.0192342,0.763519,0.0225203,0.339159
0.3435,0.0188682,0.763028,0.0225366,0.339322
0.3445,0.0185035,0.76254,0.0225528,0.339484
0.3455,0.01814,0.762055,0.0225689,0.339646
0.3465,0.0177778,0.761572,0.0225848,0.339806
0.3475,0.0174169,0.761091,0.0226006,0.339966
0.3485,0.0170572,0.760614,0.0226163,0.340124
0.3495,0.0166988,0.760138,0.0226319,0.340282
0.3505,0.0163415,0.759666,0.0226473,0.340439
0.3515,0.0159855,0.759196,0.0226627,0.340595
0.3525,0.0156307,0.758728,0.0226779,0.340751
0.3535,0.015277,0.758263,0.022693,0.340905
0.3545,0.0149246,0.7578,0.022708,0.341059
0.3555,0.0145733,0.75734,0.0227229,0.341212
0.3565,0.0142231,0.756883,0.0227377,0.341364
0.3575,0.0138741,0.756427,0.0227524,0.341515
0.3585,0.0135263,0.755975,0.022767,0.341666
0.3595,0.0131795,0.755524,0.0227815,0.341815
0.3605,0.0128339,0.755076,0.0227958,0.341964
0.3615,0.0124894,0.75463,0.0228101,0.342112
0.3625,0.012146,0.754187,0.0228243,0.342259
0.3635,0.0118036,0.753746,0.0228383,0.342405
0.3645,0.0114624,0.753307,0.0228523,0.34255
0.3655,0.0111222,0.752871,0.0228662,0.342695
0.3665,0.010783,0.752437,0.0228799,0.342838
0.3675,0.010445,0.752005,0.0228936,0.342981
0.3685,0.0101079,0.751575,0.0229072,0.343122
0.3695,0.00977193,0.751148,0.0229207,0.343263
0.3705,0.00943695,0.750722,0.022934,0.343402
0.3715,0.009103,0.750299,0.0229473,0.343541
0.3725,0.00877005,0.749878,0.0229605,0.343678
0.3735,0.0084381,0.749459,0.0229737,0.343814
0.3745,0.00810715,0.749043,0.0229867,0.343948
0.3755,0.00777718,0.748628,0.0229996,0.344081
0.3765,0.0074482,0.748215,0.0230125,0.344212
0.3775,0.00712018,0.747804,0.0230252,0.344341
0.3785,0.00679312,0.747394,0.0230379,0.344468
0.3795,0.00646703,0.746986,0.0230505,0.344594
0.3805,0.00614188,0.74658,0.023063,0.344716
0.3815,0.00581767,0.746175,0.0230754,0.344836
0.3825,0.0054944,0.74577,0.0230877,0.344953
0.3835,0.00517206,0.745367,0.0231,0.345067
0.3845,0.00485065,0.744963,0.0231121,0.345178
0.3855,0.00453015,0.74456,0.0231242,0.345284
0.3865,0.00421056,0.744156,0.0231362,0.345387
0.3875,0.00389188,0.74375,0.0231482,0.345484
0.3885,0.0035741,0.743343,0.02316,0.345577
0.3895,0.00325722,0.742931,0.0231718,0.345665
0.3905,0.00294123,0.742515,0.0231835,0.345747
0.3915,0.00262613,0.742088,0.0231951,0.345822
0.3925,0.00231192,0.741626,0.0232066,0.345891
0.3935,0.00199858,0.741011,0.0232181,0.345953
0.3945,0.00168614,0.7397,0.0232295,0.346007
0.3955,0.00137459,0.735447,0.0232408,0.346053
0.3965,0.00106401,0.720202,0.0232521,0.346091
0.3975,0.000754723,0.670199,0.0232633,0.34612
0.3985,0.000447722,0.533039,0.0232744,0.34614
0.3995,0.000145751,0.244012,0.0232854,0.34615
